City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
176,Savalou,BJ,7.9281,1.9756,82.2,70,22,9.06,few clouds,2021-04-04 23:16:23
177,Antofagasta,CL,-23.65,-70.4,66.2,72,0,8.05,clear sky,2021-04-04 23:16:24
178,Faanui,PF,-16.4833,-151.75,82.02,74,19,10.56,light rain,2021-04-04 23:16:24
179,Saint Anthony,US,45.0205,-93.218,77.0,19,1,8.05,clear sky,2021-04-04 23:16:25
180,Isangel,VU,-19.55,169.2667,80.6,74,75,16.11,broken clouds,2021-04-04 23:16:25
181,Itaituba,BR,-4.2761,-55.9836,78.48,84,98,2.37,overcast clouds,2021-04-04 23:16:26
182,Turukhansk,RU,65.8167,87.9833,28.83,97,100,11.72,snow,2021-04-04 23:16:26
183,Upernavik,GL,72.7868,-56.1549,-14.53,94,34,8.23,scattered clouds,2021-04-04 23:16:26
184,Najran,SA,17.4924,44.1277,66.2,26,47,3.11,dust,2021-04-04 23:16:27
185,Samarai,PG,-10.6167,150.6667,84.13,75,57,10.04,broken clouds,2021-04-04 23:16:27
186,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,93,40,11.5,scattered clouds,2021-04-04 23:16:27
187,Mogapi,BW,-22.323,27.8349,62.04,83,0,4.32,clear sky,2021-04-04 23:16:28
188,Muscat,OM,23.6139,58.5922,82.4,36,0,3.44,clear sky,2021-04-04 23:16:28
189,Pacific Grove,US,36.6177,-121.9166,59.0,62,1,10.36,clear sky,2021-04-04 23:16:29
190,Kerteminde,DK,55.449,10.6577,43.0,79,100,29.64,overcast clouds,2021-04-04 23:16:29
191,Te Anau,NZ,-45.4167,167.7167,54.41,79,95,7.29,overcast clouds,2021-04-04 23:16:29
192,Kindersley,CA,51.4668,-109.1682,51.8,40,75,25.32,broken clouds,2021-04-04 23:16:30
193,North Bend,US,43.4065,-124.2243,59.0,62,1,27.63,clear sky,2021-04-04 23:16:30
194,Souillac,MU,-20.5167,57.5167,80.01,75,36,5.99,scattered clouds,2021-04-04 23:16:31
195,Itapirapua,BR,-15.8233,-50.6133,76.84,75,77,4.56,broken clouds,2021-04-04 23:16:31
196,Belyy Yar,RU,53.6039,91.3903,23.0,86,30,2.24,smoke,2021-04-04 23:16:32
197,Hadrut,AZ,39.52,47.0318,49.75,54,0,5.93,clear sky,2021-04-04 23:16:32
198,Severo-Kurilsk,RU,50.6789,156.125,30.18,79,95,14.29,overcast clouds,2021-04-04 23:16:33
199,Okhotsk,RU,59.3833,143.3,21.69,91,100,3.71,overcast clouds,2021-04-04 23:16:33
200,Saquarema,BR,-22.92,-42.5103,78.8,78,40,10.36,scattered clouds,2021-04-04 23:16:33
201,Iralaya,HN,15.0,-83.2333,73.4,94,90,10.36,light intensity drizzle,2021-04-04 23:16:34
202,Sambava,MG,-14.2667,50.1667,75.78,91,96,6.62,overcast clouds,2021-04-04 23:16:34
203,Marawi,PH,7.9986,124.2928,70.32,90,100,1.41,overcast clouds,2021-04-04 23:16:35
204,Meulaboh,ID,4.1363,96.1285,75.94,88,100,3.33,overcast clouds,2021-04-04 23:16:35
205,Mian Channun,PK,30.44,72.3543,73.33,21,90,9.71,overcast clouds,2021-04-04 23:16:36
206,Partizanskoye,RU,55.5006,94.39,33.66,91,100,4.56,overcast clouds,2021-04-04 23:16:36
207,Yura,PE,-16.2522,-71.6797,60.8,72,75,1.14,broken clouds,2021-04-04 23:16:37
208,Abu Kamal,SY,34.4506,40.9171,62.64,38,0,7.14,clear sky,2021-04-04 23:16:37
209,Fort Nelson,CA,58.8053,-122.7002,48.2,25,40,5.75,scattered clouds,2021-04-04 23:16:38
210,Xixiang,CN,35.1628,112.865,48.61,48,99,3.13,overcast clouds,2021-04-04 23:16:38
211,Puerto Princesa,PH,9.7392,118.7353,77.0,83,20,6.91,few clouds,2021-04-04 23:16:39
212,High Level,CA,58.5169,-117.136,42.8,36,40,6.91,scattered clouds,2021-04-04 23:16:39
213,Zhezkazgan,KZ,47.8043,67.7144,37.22,97,100,9.86,light rain,2021-04-04 23:16:40
214,Bredasdorp,ZA,-34.5322,20.0403,62.6,94,100,6.91,light rain,2021-04-04 23:16:40
215,Lagoa,PT,39.05,-27.9833,60.01,83,86,15.75,overcast clouds,2021-04-04 23:16:40
216,Henties Bay,NA,-22.116,14.2845,68.18,75,15,8.25,few clouds,2021-04-04 23:16:41
217,Tuzla,BA,44.5428,18.6694,32.0,100,20,1.14,few clouds,2021-04-04 23:16:41
218,Aksarka,RU,66.5606,67.7975,27.9,98,100,6.69,light snow,2021-04-04 23:16:42
219,Haines Junction,CA,60.7522,-137.5108,41.0,45,100,11.5,overcast clouds,2021-04-04 23:16:43
220,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,68,0,8.05,clear sky,2021-04-04 23:16:31
221,The Valley,AI,18.217,-63.0578,78.8,73,40,8.05,scattered clouds,2021-04-04 23:16:43
222,Kizhinga,RU,51.8462,109.9097,26.64,88,26,7.02,scattered clouds,2021-04-04 23:16:44
223,North Myrtle Beach,US,33.816,-78.68,62.01,63,1,17.27,clear sky,2021-04-04 23:16:44
224,Labuhan,ID,-6.8844,112.2051,77.61,85,100,6.26,overcast clouds,2021-04-04 23:16:44
225,Dingle,PH,10.9995,122.6711,77.94,79,92,7.38,overcast clouds,2021-04-04 23:16:45
226,Kidal,ML,18.4411,1.4078,81.43,6,0,9.06,clear sky,2021-04-04 23:16:45
227,Pontes E Lacerda,BR,-15.2261,-59.3353,77.09,79,44,2.77,scattered clouds,2021-04-04 23:16:45
228,Salinopolis,BR,-0.6136,-47.3561,78.17,88,87,10.38,heavy intensity rain,2021-04-04 23:16:46
229,Ostrovnoy,RU,68.0531,39.5131,33.42,91,100,16.62,overcast clouds,2021-04-04 23:16:46
230,Olga,RU,43.7444,135.2892,41.47,40,0,2.42,clear sky,2021-04-04 23:16:47
231,Xining,CN,36.6167,101.7667,33.13,61,18,1.92,few clouds,2021-04-04 23:16:47
232,Vao,NC,-22.6667,167.4833,76.17,62,3,19.69,clear sky,2021-04-04 23:16:47
233,Ixtapa,MX,20.7,-105.2,78.8,73,1,10.36,clear sky,2021-04-04 23:16:48
234,Homer,US,59.6425,-151.5483,37.4,87,90,19.57,overcast clouds,2021-04-04 23:16:48
235,Cherskiy,RU,68.75,161.3,-1.46,90,57,0.31,broken clouds,2021-04-04 23:16:49
236,Agadir,MA,30.4202,-9.5982,60.8,82,0,6.15,clear sky,2021-04-04 23:16:49
237,Butaritari,KI,3.0707,172.7902,82.35,78,84,15.59,broken clouds,2021-04-04 23:16:50
238,Narsaq,GL,60.9167,-46.05,3.2,100,90,5.26,overcast clouds,2021-04-04 23:16:51
239,Torbay,CA,47.6666,-52.7314,39.0,100,90,13.8,fog,2021-04-04 23:16:51
240,Touros,BR,-5.1989,-35.4608,78.8,83,20,5.75,few clouds,2021-04-04 23:16:52
241,Karratha,AU,-20.7377,116.8463,81.66,43,6,6.35,clear sky,2021-04-04 23:16:52
242,Ust-Kulom,RU,61.6864,53.6902,13.86,99,83,2.8,broken clouds,2021-04-04 23:16:53
243,Batsfjord,NO,70.6345,29.7185,35.53,90,100,9.46,overcast clouds,2021-04-04 23:16:53
244,Lompoc,US,34.6391,-120.4579,62.6,55,76,14.97,broken clouds,2021-04-04 23:12:00
245,Verkhnevilyuysk,RU,63.4453,120.3167,-10.68,98,99,3.8,overcast clouds,2021-04-04 23:16:54
246,Tengushevo,RU,54.7686,42.7189,28.56,97,62,5.57,broken clouds,2021-04-04 23:16:54
247,Half Moon Bay,US,37.4636,-122.4286,60.01,66,1,12.66,clear sky,2021-04-04 23:16:55
248,Inhambane,MZ,-23.865,35.3833,68.25,75,0,4.76,clear sky,2021-04-04 23:16:56
249,Comodoro Rivadavia,AR,-45.8667,-67.5,78.8,27,0,3.44,clear sky,2021-04-04 23:13:21
250,Khuzdar,PK,27.7384,66.6434,70.12,33,12,5.97,few clouds,2021-04-04 23:16:56
251,Tarakan,ID,3.3,117.6333,80.11,78,97,6.08,light rain,2021-04-04 23:16:57
252,Tynset,NO,62.2759,10.7824,21.2,73,40,13.8,light snow,2021-04-04 23:16:58
253,Satana,IN,20.5833,74.2,76.93,43,5,6.73,clear sky,2021-04-04 23:16:58
254,Veraval,IN,20.9,70.3667,77.43,79,0,8.1,clear sky,2021-04-04 23:16:59
255,Bengkulu,ID,-3.8004,102.2655,76.44,83,100,8.5,overcast clouds,2021-04-04 23:16:59
256,Miles City,US,46.4083,-105.8406,75.2,12,1,12.66,clear sky,2021-04-04 23:16:59
257,Lipin Bor,RU,60.2622,37.9763,32.16,94,100,11.68,light snow,2021-04-04 23:17:00
258,Belmonte,BR,-15.8631,-38.8828,75.2,88,90,8.05,overcast clouds,2021-04-04 23:17:01
259,Guadalupe Y Calvo,MX,26.1,-106.9667,72.95,10,0,12.21,clear sky,2021-04-04 23:17:01
